DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:                1,00 D;;;;;;;;
;;;;;;;;;
05/01/21;1,1E+15;RESGATE INVEST FACIL;;1;;;;414,8431138;0
;;;;;;;;;
20/01/21;1,1E+15;PORTO SEGURO CIA DE SEGUROS;51312007;1;;;;0;4,576047904
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           57.490,06 D;;;;;;;;
;;;;;;;;;
04/01/21;1,1E+15;PGTO. BOL 000274625 - CRM INDUSTRIA E CO;;1;;;;0;5992,814371
04/01/21;;MERCIO DE ALIMENTOS LT;;;;;;;
04/01/21;1,1E+15;PGTO. BOL 000276571 - ANPLA FACILITIES M;;1;;;;0;5173,652695
04/01/21;;ANUTENCAO E SERVICOS L;;;;;;;
04/01/21;1,1E+15;PGTO. NDC 000360317 - UBER DO BRASIL TEC;;1;;;;0;364,5760479
04/01/21;;NOLOGIA LTDA.;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000030612 - G4S INTERATIVA SER;;1;;;;0;533,7281437
04/01/21;;VICE LTDA;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000030613 - G4S INTERATIVA SER;;1;;;;0;2178,409581
04/01/21;;VICE LTDA;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000054532 - MACHADO MEYER SEND;;1;;;;0;2935,182036
04/01/21;;ACZ E OPICE ADVOGADOS;;;;;;;
04/01/21;1,1E+15;PGTO. BOL 000279157 - CONDOMINIO CORPORA;;1;;;;0;4165,253892
04/01/21;;TE PARK;;;;;;;
04/01/21;1,1E+15;PGTO. BOL 000279161 - CONDOMINIO CORPORA;;1;;;;0;4278,009581
04/01/21;;TE PARK;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000006750 - NIMBI SA;;1;;;;0;778,4431138
04/01/21;1,1E+15;PGTO. NF  000009506 - EVERTICAL COMERCIO;;1;;;;0;421,6610778
04/01/21;; DE MAQUINAS E EQUIPAM;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000127481 - CENTURYLINK COM DO;;1;;;;0;359,2814371
04/01/21;; BRASIL LTDA;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000234165 - VAGAS TECNOLOGIA D;;1;;;;0;133,6526946
04/01/21;;E SOFTWARE LTDA;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000249828 - BRINGER DO BRASIL;;1;;;;0;97,16526946
04/01/21;;AGENCIAMENTO DE CARGAS;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000153630 - CENTURYLINK COM DO;;1;;;;0;6,973652695
04/01/21;; BRASIL LTDA;;;;;;;
04/01/21;1,1E+15;PGTO. BOL 000274346 - ELOISA MARIA VARAN;;1;;;;0;410,7784431
04/01/21;;DAS ABUSSANRA;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000000017 - WIN  WINNOW TRADUC;;1;;;;0;241,0814371
04/01/21;;AO E INTERPRETACAO LTD;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000000050 - TIAGO HOISEL FERRA;;1;;;;0;1592,814371
04/01/21;;Z ME;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000000126 - HUGO LOPES PODADER;;1;;;;0;3353,293413
04/01/21;;A;;;;;;;
04/01/21;1,1E+15;PGTO. NF  000000146 - SPOK STUDIO LTDA;;1;;;;0;101,7964072
