DATA;LOTE/SUB/DOC/LINHA;HISTORICO;C/PARTIDA;FILIAL DE ORIGEM;C CUSTO;ITEM CONTA;DIVISAO;DEBITO;CREDITO
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112010                       - BANCO BRADESCO;SALDO ANTERIOR:            3.426,73 D;;;;;;;;
;;;;;;;;;
10/02/21;1,1E+15;TAR PACOTE MENSAL BASICO II;52111003;1;;;;0;20,06586826
CONTA;DESCRICAO;;;;;;;;
11112; - BANCOS CONTA MOVIMENTO;;;;;;;;
CONTA - 11112011                       - BANCO ITAU  AG. 8499 CC. 247909;SALDO ANTERIOR:           50.319,26 D;;;;;;;;
;;;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000020211 - MARLON MENEZES DE;;1;;;;0;1054,239521
01/02/21;;FARIA;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000000243 - RFH TRANSPORTES LT;;1;;;;0;69413,17365
01/02/21;;DA;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000011510 - OFFICINA ELETRONIC;;1;;;;0;71,85628743
01/02/21;;A SA;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000235903 - VAGAS TECNOLOGIA D;;1;;;;0;133,6526946
01/02/21;;E SOFTWARE LTDA;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000001898 - ALFA SOLUTIONS COM;;1;;;;0;2087,42515
01/02/21;;ERCIO E SERVIÇOS DE IN;;;;;;;
01/02/21;1,1E+15;PGTO. NF  000014600 - OFFICINA ELETRONIC;;1;;;;0;1111,976048
01/02/21;;A SA;;;;;;;
01/02/21;1,1E+15;PGTO NF 000030559 SOLO NETWORK BRASIL;;1;;;;0;1174,238323
01/02/21;1,1E+15;PGTO NF 000000034 HELLEN CRISTINE DIAS;;1;;;;0;41,91616766
01/02/21;1,1E+15;PGTO NF 000285230 INCENTIVALE MARKETIN;;1;;;;0;407,1856287
01/02/21;1,1E+15;PGTO NF 000285411 CONDOMINIO CORPORATE;;1;;;;0;4124,384431
01/02/21;1,1E+15;PGTO NF 000285414 CONDOMINIO CORPORATE;;1;;;;0;4236,032335
01/02/21;1,1E+15;PGTO NF 000285550 14º TABELIONATO DE N;;1;;;;0;1,976047904
01/02/21;1,1E+15;PGTO NF 002430004 LIVRARIA CULTURA SA;;1;;;;0;11,9760479
01/02/21;1,1E+15;PGTO NF 000002267 SODEXO PASS DO BRASI;;1;;;;0;294,5077844
01/02/21;1,1E+15;PGTO NF 000002270 SODEXO PASS DO BRASI;;1;;;;0;294,5077844
01/02/21;1,1E+15;PGTO NF 027012021 TELEFONICA;;1;;;;0;1338,403593
01/02/21;1,1E+15;007 RESGATE CDB;;1;;;;130779,176;0
01/02/21;1,1E+15;FT OP-TES COMPROMISSADA;;1;;;;20004,65509;0
01/02/21;1,1E+15;FT OP-TES COMPROMISSADA;;1;;;;10419,56647;0
01/02/21;1,1E+15;FT OP-TES COMPROMISSADA;;1;;;;11432,68623;0
01/02/21;1,1E+15;-ITAUCARD MC 1502-5403;21111003;1;;;;0;58821,30659
01/02/21;1,1E+15;IR S/ CAMBIO 2021840242 MONOTYPE IMAGING;52111012;1;;;;0;17190,03114
;;;;;;;;;
02/02/21;1,1E+15;PGTO NF 000286325 ELETROPAULO METROPOL;;1;;;;0;20,63233533
02/02/21;1,1E+15;-TAR CTA EMP MENSAL 01/21;52111003;1;;;;0;21,43712575
02/02/21;1,1E+15;REND PAGO APLIC AUT MAIS;52112006;1;;;;0,005988024;0
02/02/21;1,1E+15;FT OP-TES;;1;;;;0;10778,44311
;;;;;;;;;
03/02/21;1,1E+15;PGTO. NF  000000053 - TIAGO HOISEL FERRA;;1;;;;0;1520,958084
